id,name,rank,base_salary,seniority_allowance,total_base
E001,Jean Dupont,Private,2000,0,2000
E002,Marie Leclerc,Corporal,2300,0,2300
E003,Pierre Martin,Sergeant,2600,0,2600
E004,Sophie Bernard,Lieutenant,3200,0,3200
E005,Luc Moreau,Captain,3800,0,3800
E006,Camille Laurent,Major,4500,0,4500
E007,Antoine Dubois,Colonel,5200,0,5200
E008,Julie Rousseau,General,6500,0,6500
E009,Thomas Petit,Private,2000,0,2000
E010,Claire Garnier,Corporal,2300,0,2300
E011,Hugo Faure,Sergeant,2600,0,2600
E012,Alice Girard,Lieutenant,3200,0,3200
E013,Nicolas Andre,Captain,3800,0,3800
E014,Emma Bonnet,Major,4500,0,4500
E015,Louis Lambert,Colonel,5200,0,5200
E016,Chloe Fontaine,General,6500,0,6500
E017,Gabriel Rousseau,Private,2000,0,2000
E018,Manon Perrot,Corporal,2300,0,2300
E019,Alexandre Blanchard,Sergeant,2600,0,2600
E020,Lea Perrin,Lieutenant,3200,0,3200
E021,Paul Leroy,Captain,3800,0,3800
E022,Sarah Colin,Major,4500,0,4500
E023,Julien Renard,Colonel,5200,0,5200
E024,Laura Vidal,General,6500,0,6500
E025,Maxime Renaud,Private,2000,0,2000
E026,Eva Marchand,Corporal,2300,0,2300
E027,Arthur Roy,Sergeant,2600,0,2600
E028,Nina Chevalier,Lieutenant,3200,0,3200
E029,Bastien Gauthier,Captain,3800,0,3800
E030,Ines Henry,Major,4500,0,4500
